objectID,market,language,locale,page_type,title,slug,url,aliases,priority,active
cr-en-membership-info,cr,en,en-cr,landing_page,Membership Information,membership-info,https://www.pricesmart.com/en-cr/membership/info,"membership,renew membership,membership cost,benefits of membership,become member,why membership,why do i have to be a member to shop at pricesmart,what are the benefits of being a pricesmart member,how can i become a pricesmart member,what types of memberships are available,how much does a membership cost,can i shop at pricesmart without a membership,can i use my membership in other countries,how do i renew my membership,can i renew my membership online,if i renew in person do i have to go to my original club,can i change my additional cardholders every year,how many additional cardholders can i have,what do i do if my membership card is lost or stolen,can i replace my membership card",10,true
cr-es-membership-info,cr,es,es-cr,landing_page,Información de Membresía,membresia-info,https://www.pricesmart.com/es-cr/membrecia/info,"membresia,renovar membresia,costo de membresia,beneficios membresia,hacerse socio,por que tengo que ser socio para comprar en pricesmart,cuales son los beneficios de ser socio de pricesmart,como puedo hacerme socio de pricesmart,que tipos de membresias estan disponibles,cuanto cuesta una membresia,puedo comprar sin ser socio,puedo usar mi membresia en otros paises,como puedo renovar mi membresia,puedo renovar en linea,si renuevo en persona debo ir al club donde me inscribi,puedo cambiar tarjetahabientes adicionales cada ano,cuantos tarjetahabientes adicionales puedo tener,que hago si pierdo mi tarjeta de membresia,puedo reemplazar mi tarjeta",10,true
cr-en-pharmacy,cr,en,en-cr,landing_page,Pharmacy,pharmacy,https://farmacia.pricesmart.com/,"pharmacy,prescription,drugstore,medication,pharmacist",8,true
cr-es-pharmacy,cr,es,es-cr,landing_page,Farmacia,farmacia,https://farmacia.pricesmart.com/,"farmacia,receta,drogueria,medicina,farmaceutico",8,true
cr-en-smart-week,cr,en,en-cr,landing_page,Smart Week,smart-week,https://www.pricesmart.com/en-cr/smart-week,"black friday,black week,black november,smart week,deals week",9,true
cr-es-smart-week,cr,es,es-cr,landing_page,Smart Week,smart-week,https://www.pricesmart.com/es-cr/smart-week,"viernes negro,semana negra,black friday,smart week",9,true
cr-en-cyber-days,cr,en,en-cr,landing_page,Cyber Days,cyber-days,https://www.pricesmart.com/en-cr/cyber-days,"cyber monday,cyber week,cyber sale,online deals",9,true
cr-es-cyber-days,cr,es,es-cr,landing_page,Cyber Days,cyber-days,https://www.pricesmart.com/es-cr/cyber-days,"ciber lunes,ciber semana,ciber rebajas,cyber monday",9,true
cr-en-savings,cr,en,en-cr,landing_page,Manufacturer Savings,manufacturer-savings,https://www.pricesmart.com/en-cr/manufacturer-savings,"deals,savings,sale,discounts,clearance,low prices",8,true
cr-es-savings,cr,es,es-cr,landing_page,Ahorros del Fabricante,ahorros-del-fabricante,https://www.pricesmart.com/es-cr/ahorros-del-fabricante,"ofertas,ahorros,rebajas,descuentos,liquidacion",8,true
cr-en-locations,cr,en,en-cr,landing_page,Clubs and Locations,clubs-and-locations,https://www.pricesmart.com/en-cr/clubs-and-locations,"locations,stores,clubs,directions,opening hours,nearby store",7,true
cr-es-locations,cr,es,es-cr,landing_page,Clubes y Ubicaciones,clubes-locaciones,https://www.pricesmart.com/es-cr/clubes-locaciones,"sucursales,ubicaciones,tiendas,clubes,direccion,horarios",7,true
cr-en-recent-purchases,cr,en,en-cr,landing_page,Recent Purchases,recent-purchases,https://www.pricesmart.com/en-cr/recent-purchases,"recent purchases,past purchases,order history,track purchases",7,true
cr-es-recent-purchases,cr,es,es-cr,landing_page,Compras Recientes,compras-recientes,https://www.pricesmart.com/es-cr/compras-recientes,"compras recientes,compras pasadas,historial pedidos",7,true
cr-en-terms,cr,en,en-cr,landing_page,Terms and Conditions,terms-and-conditions,https://www.pricesmart.com/en-cr/terms-and-conditions,"return policy,refund,warranty,privacy policy,terms of use,what is the return policy,can i return an item to any pricesmart location,how do i return an online purchase,how long do i have to return an item,are there items that cannot be returned,what should i do if i receive a defective item,can i exchange a product",10,true
cr-es-terms,cr,es,es-cr,landing_page,Términos y Condiciones,terminos-y-condiciones,https://www.pricesmart.com/es-cr/terminos-y-condiciones,"politica devoluciones,reembolso,garantia,politica privacidad,terminos uso,cual es la politica de devoluciones,puedo devolver un articulo en cualquier club,como devuelvo una compra en linea,cuanto tiempo tengo para devolver un articulo,hay productos que no se pueden devolver,que hago si recibo un articulo defectuoso,puedo cambiar un producto",10,true
cr-en-credit-card,cr,en,en-cr,landing_page,Credit Card,credit-card,https://www.pricesmart.com/en-cr/credit-card,"credit card,card,credit,cash back,price cash,what payment methods are accepted,can i pay online with a credit card,are debit cards accepted,can i use cash for online purchases",8,true
cr-es-credit-card,cr,es,es-cr,landing_page,Tarjeta de Crédito,tarjeta-de-credito,https://www.pricesmart.com/es-cr/tarjeta-de-credito,"tarjeta credito,tarjeta,credito,cash back,price cash,que metodos de pago se aceptan,puedo pagar en linea con tarjeta de credito,se aceptan tarjetas de debito,puedo pagar en efectivo en linea",8,true
